Bus,  3-Phase,  1-Phase,  L-L
PPU_DUMA_33KV,      22644,      10577,      19610
PPU_DUMA_11KV,      21197,      23669,      18357
RPPLNGI2    ,      13161,      15146,      11397
PDTJLNMASJID,       9324,      10692,       8075
BELLA       ,       7176,       8177,       6215
PSTPDGN     ,       5816,       6593,       5037
PAMDRA      ,      20071,      22584,      17382
DUMA4       ,      16736,      11792,      14493
PLSDRA      ,      11033,       4150,       9555
SSU_UPTWRES_IR1,       9333,       3919,       8083
ATRIA_1     ,       7690,       8780,       6660
HAWKER      ,       4506,       3681,       3902
PRMTE       ,      11470,       6156,       9933
PRMTA       ,      10366,       5837,       8977
PMONTB      ,       9423,       4513,       8161
DUMA7       ,      18082,      20564,      15659
HAUS        ,      14554,       9111,      12604
DUMA6       ,       7619,       2566,       6598
DUMA13      ,       4460,       1322,       3863
SSU_DUMA5_IM2,       3898,       1278,       3375
PLNGI_B     ,      13128,      15107,      11368
PLNGI_D     ,       9282,      10643,       8038
PDTLITRAK   ,       9359,      10730,       8105
DUMA12      ,       7218,       8223,       6251
TMNGH4      ,       6020,       4185,       5213
SSU_TMEGAH3_IR1,       5450,       3169,       4720
TMNGH2      ,       5026,       2601,       4353
SPRK9       ,       7181,       8183,       6219
BOMBA       ,       6912,       6963,       5985
SPRK8       ,       5774,       3716,       5000
SSU_UPTWRES_IM2,      15805,      11891,      13687
MAYBANK     ,      10671,       8757,       9241
DUMA8       ,       9864,       6609,       8542
SSU_DSARCNTR_IR1,      13111,      15087,      11354
DUMA9       ,       8556,       9792,       7409
DUMA1       ,       6172,       7006,       5345
ELITE       ,       5136,       5804,       4448
DUMA10      ,       8306,       9501,       7193
BALAIPOLIS  ,       8196,       9372,       7098
