Bus,  V1,  p.u.,Base kV, V2, %V2/V1, V0, %V0/V1, Vresidual, %NEMA
"PPU_DUMA_33KV",    19052.6,         1,    33.00, 9.31062E-006, 4.887E-008, 1.23938E-006, 6.505E-009, 3.71815E-006, 6.505E-009
"PPU_DUMA_11KV",    6350.99,         1,    11.00, 3.28951E-006, 5.18E-008, 7.62013E-011, 1.2E-012, 2.26229E-010, 6.506E-009
"RPPLNGI2",    6350.99,         1,    11.00, 3.28951E-006, 5.18E-008, 7.54024E-011, 1.187E-012, 2.24305E-010, 6.506E-009
"PDTJLNMASJID",    6350.99,         1,    11.00, 3.28951E-006, 5.18E-008, 7.41119E-011, 1.167E-012, 2.20207E-010, 6.506E-009
"BELLA",    6350.99,         1,    11.00, 3.28951E-006, 5.18E-008, 7.31654E-011, 1.152E-012, 2.17551E-010, 6.506E-009
"PSTPDGN",    6350.99,         1,    11.00, 3.28951E-006, 5.18E-008, 7.33593E-011, 1.155E-012, 2.17925E-010, 6.506E-009
"PAMDRA",    6350.99,         1,    11.00, 3.28951E-006, 5.18E-008, 7.60291E-011, 1.197E-012, 2.26282E-010, 6.506E-009
"DUMA4",    6350.99,         1,    11.00, 3.28951E-006, 5.18E-008, 7.73697E-011, 1.218E-012, 2.30053E-010, 6.506E-009
"PLSDRA",    6350.99,         1,    11.00, 3.28951E-006, 5.18E-008, 8.13239E-011, 1.28E-012, 2.41665E-010, 6.506E-009
"SSU_UPTWRES_IR1",    6350.99,         1,    11.00, 3.28951E-006, 5.18E-008, 8.10559E-011, 1.276E-012, 2.40659E-010, 6.506E-009
"ATRIA_1",    6350.99,         1,    11.00, 3.28951E-006, 5.18E-008, 7.59423E-011, 1.196E-012, 2.25452E-010, 6.506E-009
"HAWKER",    6350.99,         1,    11.00, 3.28951E-006, 5.18E-008, 7.6125E-011, 1.199E-012, 2.26293E-010, 6.506E-009
"PRMTE",    6350.99,         1,    11.00, 3.2895E-006, 5.18E-008, 6.41232E-011, 1.01E-012, 1.90103E-010, 6.505E-009
"PRMTA",    6350.99,         1,    11.00, 3.2895E-006, 5.18E-008, 6.27716E-011, 9.884E-013, 1.86464E-010, 6.505E-009
"PMONTB",    6350.99,         1,    11.00, 3.2895E-006, 5.18E-008, 6.38252E-011, 1.005E-012, 1.89587E-010, 6.505E-009
"DUMA7",    6350.99,         1,    11.00, 3.28951E-006, 5.18E-008, 7.67803E-011, 1.209E-012, 2.27827E-010, 6.506E-009
"HAUS",    6350.99,         1,    11.00, 3.28951E-006, 5.18E-008, 7.55721E-011, 1.19E-012, 2.24455E-010, 6.506E-009
"DUMA6",       6351,         1,    11.00, 3.28951E-006, 5.18E-008, 7.57435E-011, 1.193E-012, 2.24934E-010, 6.506E-009
"DUMA13",       6351,         1,    11.00, 3.28951E-006, 5.18E-008, 6.9142E-011, 1.089E-012, 2.05825E-010, 6.506E-009
"SSU_DUMA5_IM2",       6351,         1,    11.00, 3.28951E-006, 5.18E-008, 6.87769E-011, 1.083E-012, 2.04365E-010, 6.506E-009
"PLNGI_B",    6350.99,         1,    11.00, 3.28951E-006, 5.18E-008, 7.74919E-011, 1.22E-012, 2.29746E-010, 6.506E-009
"PLNGI_D",    6350.99,         1,    11.00, 3.28951E-006, 5.18E-008, 7.73705E-011, 1.218E-012, 2.29739E-010, 6.506E-009
"PDTLITRAK",    6350.99,         1,    11.00, 3.28951E-006, 5.18E-008, 7.65451E-011, 1.205E-012, 2.27344E-010, 6.506E-009
"DUMA12",       6351,         1,    11.00, 3.28951E-006, 5.18E-008, 7.71094E-011, 1.214E-012, 2.28983E-010, 6.506E-009
"TMNGH4",       6351,         1,    11.00, 3.28951E-006, 5.18E-008, 7.60167E-011, 1.197E-012, 2.25772E-010, 6.506E-009
"SSU_TMEGAH3_IR1",       6351,         1,    11.00, 3.28951E-006, 5.18E-008, 7.3942E-011, 1.164E-012, 2.19879E-010, 6.506E-009
"TMNGH2",       6351,         1,    11.00, 3.28951E-006, 5.18E-008, 7.53677E-011, 1.187E-012, 2.2434E-010, 6.506E-009
"SPRK9",    6350.99,         1,    11.00, 3.28951E-006, 5.18E-008, 7.87008E-011, 1.239E-012, 2.33158E-010, 6.506E-009
"BOMBA",    6350.99,         1,    11.00, 3.28951E-006, 5.18E-008, 7.71877E-011, 1.215E-012, 2.29439E-010, 6.506E-009
"SPRK8",    6350.99,         1,    11.00, 3.28951E-006, 5.18E-008, 7.7539E-011, 1.221E-012, 2.30467E-010, 6.506E-009
"SSU_UPTWRES_IM2",    6350.99,         1,    11.00, 3.28951E-006, 5.18E-008, 6.87979E-011, 1.083E-012, 2.04555E-010, 6.506E-009
