Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"PPU_DUMA_33KV", 33, 1,    18450.9,    4.2,   0.96842, 2,    18450.9, -115.8,   0.96842, 3,    18450.9,  124.2,   0.96842
"PPU_DUMA_11KV", 11, 1,    5129.01,    7.3,   0.80761, 2,       5129, -112.7,   0.80761, 3,    5129.01,  127.3,   0.80761
"RPPLNGI2", 11, 1,    5266.68,    8.8,   0.82929, 2,    5266.67, -111.2,   0.82929, 3,    5266.68,  128.8,   0.82929
"PDTJLNMASJID", 11, 1,    5372.36,   10.0,   0.84593, 2,    5372.35, -110.0,   0.84593, 3,    5372.36,  130.0,   0.84593
"BELLA", 11, 1,    5443.94,   10.7,    0.8572, 2,    5443.93, -109.3,    0.8572, 3,    5443.94,  130.7,    0.8572
"PSTPDGN", 11, 1,    5480.07,   11.0,   0.86289, 2,    5480.06, -109.0,   0.86289, 3,    5480.07,  131.0,   0.86289
"PAMDRA", 11, 1,    5142.71,    7.5,   0.80977, 2,    5142.71, -112.5,   0.80977, 3,    5142.72,  127.5,   0.80977
"DUMA4", 11, 1,    5189.41,    7.8,   0.81712, 2,     5189.4, -112.2,   0.81712, 3,    5189.41,  127.8,   0.81712
"PLSDRA", 11, 1,    5294.36,    8.3,   0.83364, 2,    5294.35, -111.7,   0.83364, 3,    5294.36,  128.3,   0.83365
"SSU_UPTWRES_IR1", 11, 1,    5311.89,    8.5,   0.83641, 2,    5311.88, -111.5,    0.8364, 3,    5311.89,  128.5,   0.83641
"ATRIA_1", 11, 1,    5313.81,    9.3,   0.83671, 2,     5313.8, -110.7,   0.83671, 3,    5313.81,  129.3,   0.83671
"HAWKER", 11, 1,    5345.23,   10.8,   0.84166, 2,    5345.23, -109.2,   0.84166, 3,    5345.24,  130.8,   0.84166
"PRMTE", 11, 1,    5252.12,    8.9,   0.82699, 2,    5252.11, -111.1,   0.82699, 3,    5252.12,  128.9,     0.827
"PRMTA", 11, 1,    5273.02,    9.1,   0.83029, 2,    5273.01, -110.9,   0.83028, 3,    5273.03,  129.1,   0.83029
"PMONTB", 11, 1,    5289.63,    9.2,    0.8329, 2,    5289.62, -110.8,    0.8329, 3,    5289.63,  129.2,    0.8329
"DUMA7", 11, 1,    5181.02,    7.9,    0.8158, 2,    5181.01, -112.1,    0.8158, 3,    5181.02,  127.9,    0.8158
"HAUS", 11, 1,    5288.49,    8.4,   0.83272, 2,    5288.48, -111.6,   0.83272, 3,    5288.46,  128.4,   0.83272
"DUMA6", 11, 1,    5588.78,    9.8,      0.88, 2,    5588.73, -110.2,      0.88, 3,    5588.64,  129.8,   0.87998
"DUMA13", 11, 1,    5862.87,   10.9,   0.92316, 2,    5862.79, -109.1,   0.92315, 3,    5862.62,  130.9,   0.92312
"SSU_DUMA5_IM2", 11, 1,    5899.39,   11.3,   0.92891, 2,    5899.31, -108.7,    0.9289, 3,    5899.13,  131.3,   0.92887
"PLNGI_B", 11, 1,    5197.35,    8.0,   0.81837, 2,    5197.35, -112.0,   0.81837, 3,    5197.36,  128.0,   0.81837
"PLNGI_D", 11, 1,    5231.84,    8.4,    0.8238, 2,    5231.84, -111.6,    0.8238, 3,    5231.85,  128.4,    0.8238
"PDTLITRAK", 11, 1,    5476.43,   11.3,   0.86231, 2,    5476.42, -108.7,   0.86231, 3,    5476.43,  131.3,   0.86231
"DUMA12", 11, 1,    5622.02,   12.8,   0.88524, 2,    5622.01, -107.2,   0.88524, 3,    5622.02,  132.8,   0.88524
"TMNGH4", 11, 1,    5761.08,   13.4,   0.90713, 2,    5761.07, -106.6,   0.90713, 3,    5761.08,  133.4,   0.90713
"SSU_TMEGAH3_IR1", 11, 1,    5816.61,   13.6,   0.91588, 2,    5816.59, -106.4,   0.91588, 3,    5816.61,  133.6,   0.91588
"TMNGH2", 11, 1,    5840.64,   13.7,   0.91966, 2,    5840.63, -106.3,   0.91966, 3,    5840.64,  133.7,   0.91966
"SPRK9", 11, 1,    5444.89,   10.7,   0.85735, 2,    5444.88, -109.3,   0.85735, 3,    5444.89,  130.7,   0.85735
"BOMBA", 11, 1,       5463,   10.8,    0.8602, 2,       5463, -109.2,    0.8602, 3,    5463.01,  130.8,    0.8602
"SPRK8", 11, 1,     5508.5,   11.0,   0.86736, 2,    5508.49, -109.0,   0.86736, 3,     5508.5,  131.0,   0.86736
"SSU_UPTWRES_IM2", 11, 1,    5180.03,    8.0,   0.81564, 2,    5180.03, -112.0,   0.81564, 3,    5180.04,  128.0,   0.81564
"MAYBANK", 11, 1,    5249.09,    8.7,   0.82652, 2,    5249.08, -111.3,   0.82652, 3,    5249.09,  128.7,   0.82652
"DUMA8", 11, 1,    5262.13,    8.8,   0.82857, 2,    5262.12, -111.2,   0.82857, 3,    5262.13,  128.8,   0.82857
"SSU_DSARCNTR_IR1", 11, 1,    5163.05,    7.7,   0.81297, 2,    5163.04, -112.3,   0.81297, 3,    5163.05,  127.7,   0.81297
"DUMA9", 11, 1,    5368.78,   10.0,   0.84536, 2,    5368.78, -110.0,   0.84536, 3,    5368.79,  130.0,   0.84536
"DUMA1", 11, 1,    5469.22,   11.0,   0.86118, 2,    5469.21, -109.0,   0.86118, 3,    5469.22,  131.0,   0.86118
"ELITE", 11, 1,    5505.52,   11.3,   0.86689, 2,    5505.51, -108.7,   0.86689, 3,    5505.52,  131.3,   0.86689
"DUMA10", 11, 1,    5294.62,    9.1,   0.83369, 2,    5294.62, -110.9,   0.83369, 3,    5294.63,  129.1,   0.83369
"BALAIPOLIS", 11, 1,    5296.37,    9.1,   0.83396, 2,    5296.37, -110.9,   0.83396, 3,    5296.38,  129.1,   0.83396
"PPU_DUMA_VCB1", 33, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
