Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"PPU_DUMA_33KV", 33, 1,    18289.9,    4.2,   0.95997, 2,    18289.9, -115.8,   0.95997, 3,    18289.9,  124.2,   0.95997
"PPU_DUMA_11KV", 11, 1,    4743.11,    9.1,   0.74685, 2,    4743.11, -110.9,   0.74685, 3,    4743.11,  129.1,   0.74685
"RPPLNGI2", 11, 1,    4868.77,   10.9,   0.76663, 2,    4868.77, -109.1,   0.76663, 3,    4868.77,  130.9,   0.76663
"PDTJLNMASJID", 11, 1,    4965.75,   12.2,    0.7819, 2,    4965.75, -107.8,    0.7819, 3,    4965.75,  132.2,    0.7819
"BELLA", 11, 1,    5031.68,   13.0,   0.79228, 2,    5031.68, -107.0,   0.79228, 3,    5031.68,  133.0,   0.79228
"PSTPDGN", 11, 1,    5065.02,   13.5,   0.79753, 2,    5065.02, -106.5,   0.79753, 3,    5065.02,  133.5,   0.79753
"PAMDRA", 11, 1,    4757.32,    9.3,   0.74908, 2,    4757.32, -110.7,   0.74908, 3,    4757.32,  129.3,   0.74908
"DUMA4", 11, 1,    4805.53,    9.7,   0.75668, 2,    4805.53, -110.3,   0.75668, 3,    4805.53,  129.7,   0.75668
"PLSDRA", 11, 1,    4912.31,   10.3,   0.77349, 2,    4912.31, -109.7,   0.77349, 3,    4912.31,  130.3,   0.77349
"SSU_UPTWRES_IR1", 11, 1,    4927.81,   10.5,   0.77593, 2,    4927.81, -109.5,   0.77593, 3,    4927.81,  130.5,   0.77593
"ATRIA_1", 11, 1,     4928.3,   11.5,   0.77601, 2,     4928.3, -108.5,   0.77601, 3,     4928.3,  131.5,   0.77601
"HAWKER", 11, 1,     4958.8,   13.3,   0.78081, 2,     4958.8, -106.7,   0.78081, 3,     4958.8,  133.3,   0.78081
"PRMTE", 11, 1,     4839.3,   10.9,   0.76199, 2,     4839.3, -109.1,   0.76199, 3,     4839.3,  130.9,   0.76199
"PRMTA", 11, 1,    4856.65,   11.1,   0.76472, 2,    4856.65, -108.9,   0.76472, 3,    4856.65,  131.1,   0.76472
"PMONTB", 11, 1,    4872.68,   11.2,   0.76725, 2,    4872.68, -108.8,   0.76725, 3,    4872.68,  131.2,   0.76725
"DUMA7", 11, 1,    4795.59,    9.9,   0.75511, 2,    4795.59, -110.1,   0.75511, 3,    4795.59,  129.9,   0.75511
"HAUS", 11, 1,    4913.01,   10.6,    0.7736, 2,    4913.01, -109.4,    0.7736, 3,    4913.01,  130.6,    0.7736
"DUMA6", 11, 1,    5248.22,   12.4,   0.82638, 2,    5248.22, -107.6,   0.82638, 3,    5248.22,  132.4,   0.82638
"DUMA13", 11, 1,    5566.21,   13.9,   0.87645, 2,    5566.21, -106.1,   0.87645, 3,    5566.21,  133.9,   0.87645
"SSU_DUMA5_IM2", 11, 1,    5606.13,   14.3,   0.88274, 2,    5606.13, -105.7,   0.88274, 3,    5606.13,  134.3,   0.88274
"PLNGI_B", 11, 1,    4816.28,   10.0,   0.75837, 2,    4816.28, -110.0,   0.75837, 3,    4816.28,  130.0,   0.75837
"PLNGI_D", 11, 1,    4855.24,   10.5,    0.7645, 2,    4855.24, -109.5,    0.7645, 3,    4855.24,  130.5,    0.7645
"PDTLITRAK", 11, 1,    5100.57,   14.1,   0.80313, 2,    5100.57, -105.9,   0.80313, 3,    5100.57,  134.1,   0.80313
"DUMA12", 11, 1,    5253.37,   15.9,   0.82719, 2,    5253.37, -104.1,   0.82719, 3,    5253.37,  135.9,   0.82719
"TMNGH4", 11, 1,    5404.72,   16.7,   0.85102, 2,    5404.72, -103.3,   0.85102, 3,    5404.72,  136.7,   0.85102
"SSU_TMEGAH3_IR1", 11, 1,    5465.53,   16.9,    0.8606, 2,    5465.53, -103.1,    0.8606, 3,    5465.53,  136.9,    0.8606
"TMNGH2", 11, 1,    5491.11,   17.1,   0.86463, 2,    5491.11, -102.9,   0.86463, 3,    5491.11,  137.1,   0.86463
"SPRK9", 11, 1,    5021.48,   13.1,   0.79068, 2,    5021.48, -106.9,   0.79068, 3,    5021.48,  133.1,   0.79068
"BOMBA", 11, 1,    5038.46,   13.2,   0.79335, 2,    5038.46, -106.8,   0.79335, 3,    5038.46,  133.2,   0.79335
"SPRK8", 11, 1,     5081.1,   13.4,   0.80007, 2,     5081.1, -106.6,   0.80007, 3,     5081.1,  133.4,   0.80007
"SSU_UPTWRES_IM2", 11, 1,    4790.48,    9.9,   0.75431, 2,    4790.48, -110.1,   0.75431, 3,    4790.48,  129.9,   0.75431
"MAYBANK", 11, 1,    4862.92,   10.8,   0.76571, 2,    4862.92, -109.2,   0.76571, 3,    4862.92,  130.8,   0.76571
"DUMA8", 11, 1,    4876.83,   10.8,    0.7679, 2,    4876.83, -109.2,    0.7679, 3,    4876.83,  130.8,    0.7679
"SSU_DSARCNTR_IR1", 11, 1,    4780.51,    9.6,   0.75273, 2,    4780.51, -110.4,   0.75273, 3,    4780.51,  129.6,   0.75273
"DUMA9", 11, 1,    4973.35,   12.3,    0.7831, 2,    4973.35, -107.7,    0.7831, 3,    4973.35,  132.3,    0.7831
"DUMA1", 11, 1,    5070.61,   13.5,   0.79841, 2,    5070.61, -106.5,   0.79841, 3,    5070.61,  133.5,   0.79841
"ELITE", 11, 1,    5105.86,   13.9,   0.80396, 2,    5105.86, -106.1,   0.80396, 3,    5105.86,  133.9,   0.80396
"DUMA10", 11, 1,    4914.57,   11.3,   0.77384, 2,    4914.57, -108.7,   0.77384, 3,    4914.57,  131.3,   0.77384
"BALAIPOLIS", 11, 1,    4916.39,   11.3,   0.77413, 2,    4916.39, -108.7,   0.77413, 3,    4916.39,  131.3,   0.77413
"PPU_DUMA_VCB1", 33, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
