Bus,  V1,  p.u.,Base kV, V2, %V2/V1, V0, %V0/V1, Vresidual, %NEMA
"PPU_DUMA_33KV",      18976,   0.99598,    33.00, 9.26779E-006, 4.884E-008, 1.23938E-006, 6.531E-009, 3.71815E-006, 6.537E-009
"PPU_DUMA_11KV",    6087.05,   0.95846,    11.00, 3.17174E-006, 5.211E-008, 2.95391E-008, 4.853E-010, 8.86182E-008, 6.815E-009
"RPPLNGI2",    6084.01,   0.95798,    11.00, 3.17039E-006, 5.211E-008, 3.02352E-008, 4.97E-010, 9.07065E-008, 6.818E-009
"PDTJLNMASJID",    6081.76,   0.95763,    11.00, 3.16938E-006, 5.211E-008, 3.07827E-008, 5.061E-010, 9.23486E-008, 6.821E-009
"BELLA",    6080.29,    0.9574,    11.00, 3.16872E-006, 5.211E-008, 3.11585E-008, 5.125E-010, 9.34769E-008, 6.823E-009
"PSTPDGN",    6079.55,   0.95728,    11.00, 3.16838E-006, 5.212E-008, 3.13499E-008, 5.157E-010, 9.40505E-008, 6.823E-009
"PAMDRA",    6088.74,   0.95873,    11.00, 3.17251E-006, 5.21E-008, 2.95164E-008, 4.848E-010, 8.855E-008, 6.813E-009
"DUMA4",    6094.09,   0.95957,    11.00, 3.17494E-006, 5.21E-008, 2.90423E-008, 4.766E-010, 8.71279E-008, 6.807E-009
"PLSDRA",    6103.71,   0.96108,    11.00, 3.17931E-006, 5.209E-008, 3.37526E-008, 5.53E-010, 1.01257E-007, 6.797E-009
"SSU_UPTWRES_IR1",    6102.39,   0.96088,    11.00, 3.17872E-006, 5.209E-008, 3.39105E-008, 5.557E-010, 1.01731E-007, 6.798E-009
"ATRIA_1",    6102.55,    0.9609,    11.00, 3.17875E-006, 5.209E-008, 2.96596E-008, 4.86E-010, 8.898E-008, 6.797E-009
"HAWKER",    6104.25,   0.96117,    11.00, 3.17954E-006, 5.209E-008, 3.4846E-008, 5.708E-010, 1.0454E-007, 6.795E-009
"PRMTE",    6062.98,   0.95467,    11.00, 3.16097E-006, 5.214E-008, 4.54604E-008, 7.498E-010, 1.36382E-007, 6.844E-009
"PRMTA",    6060.12,   0.95422,    11.00, 3.15969E-006, 5.214E-008, 4.56776E-008, 7.537E-010, 1.37034E-007, 6.847E-009
"PMONTB",    6060.68,   0.95431,    11.00, 3.15995E-006, 5.214E-008, 4.64516E-008, 7.664E-010, 1.39356E-007, 6.847E-009
"DUMA7",    6089.78,   0.95889,    11.00, 3.17305E-006, 5.21E-008, 2.96266E-008, 4.865E-010, 8.8881E-008, 6.813E-009
"HAUS",    6103.68,   0.96108,    11.00, 3.17948E-006, 5.209E-008, 3.01396E-008, 4.938E-010, 9.04181E-008, 6.8E-009
"DUMA6",    6144.41,   0.96749,    11.00, 3.19842E-006, 5.205E-008, 5.44881E-008, 8.868E-010, 1.63462E-007, 6.762E-009
"DUMA13",    6186.08,   0.97406,    11.00, 3.21785E-006, 5.202E-008, 8.79963E-008, 1.422E-009, 2.63987E-007, 6.725E-009
"SSU_DUMA5_IM2",    6188.68,   0.97446,    11.00, 3.21907E-006, 5.202E-008, 8.83839E-008, 1.428E-009, 2.6515E-007, 6.723E-009
"PLNGI_B",    6098.21,   0.96022,    11.00, 3.17677E-006, 5.209E-008, 2.93212E-008, 4.808E-010, 8.79643E-008, 6.802E-009
"PLNGI_D",    6106.28,   0.96149,    11.00, 3.18041E-006, 5.208E-008, 2.91203E-008, 4.769E-010, 8.73621E-008, 6.793E-009
"PDTLITRAK",    6121.08,   0.96382,    11.00, 3.18723E-006, 5.207E-008, 2.97222E-008, 4.856E-010, 8.91663E-008, 6.778E-009
"DUMA12",    6134.63,   0.96595,    11.00, 3.1934E-006, 5.206E-008, 2.99733E-008, 4.886E-010, 8.99197E-008, 6.763E-009
"TMNGH4",    6150.81,    0.9685,    11.00, 3.20076E-006, 5.204E-008, 3.47054E-008, 5.642E-010, 1.04116E-007, 6.745E-009
"SSU_TMEGAH3_IR1",    6157.08,   0.96949,    11.00, 3.20361E-006, 5.203E-008, 3.84446E-008, 6.244E-010, 1.15333E-007, 6.739E-009
"TMNGH2",    6158.86,   0.96977,    11.00, 3.20443E-006, 5.203E-008, 4.03517E-008, 6.552E-010, 1.21054E-007, 6.737E-009
