Bus,  3-Phase,  1-Phase,  L-L
PPU_DUMA_33KV,      22582,      10562,      19556
PPU_DUMA_11KV,      21039,      23502,      18220
RPPLNGI2    ,      13123,      15114,      11364
PDTJLNMASJID,       9302,      10676,       8056
BELLA       ,       7159,       8165,       6200
PSTPDGN     ,       5803,       6583,       5025
PAMDRA      ,      19941,      22446,      17269
DUMA4       ,      16675,      11798,      14441
PLSDRA      ,      11033,       4116,       9554
SSU_UPTWRES_IR1,       9333,       3887,       8082
ATRIA_1     ,       7681,       8776,       6652
HAWKER      ,       4497,       3674,       3894
PRMTE       ,      11443,       6119,       9910
PRMTA       ,      10345,       5802,       8959
PMONTB      ,       9412,       4484,       8151
DUMA7       ,      17987,      20467,      15577
HAUS        ,      14518,       9088,      12572
DUMA6       ,       7601,       2505,       6583
DUMA13      ,       4440,       1270,       3845
SSU_DUMA5_IM2,       3878,       1229,       3358
PLNGI_B     ,      13103,      15091,      11347
PLNGI_D     ,       9277,      10647,       8034
PDTLITRAK   ,       9323,      10699,       8073
DUMA12      ,       7184,       8192,       6221
TMNGH4      ,       5988,       4147,       5186
SSU_TMEGAH3_IR1,       5421,       3130,       4695
TMNGH2      ,       5001,       2568,       4330
SPRK9       ,       7162,       8168,       6202
BOMBA       ,       6893,       6952,       5969
SPRK8       ,       5761,       3704,       4989
SSU_UPTWRES_IM2,      15744,      11896,      13634
MAYBANK     ,      10654,       8754,       9227
DUMA8       ,       9855,       6605,       8534
SSU_DSARCNTR_IR1,      13093,      15079,      11338
DUMA9       ,       8537,       9780,       7393
DUMA1       ,       6156,       6994,       5331
ELITE       ,       5123,       5794,       4436
DUMA10      ,       8297,       9498,       7185
BALAIPOLIS  ,       8187,       9370,       7090
