Bus,  V1,  p.u.,Base kV, V2, %V2/V1, V0, %V0/V1, Vresidual, %NEMA
"PPU_DUMA_33KV",    19052.6,         1,    33.00, 9.31062E-006, 4.887E-008, 1.23939E-006, 6.505E-009, 3.71815E-006, 6.505E-009
"PPU_DUMA_11KV",    6543.19,         1,    11.33, 3.38901E-006, 5.179E-008, 1.95131E-011, 2.982E-013, 6.09209E-011, 6.505E-009
"RPPLNGI2",     6543.2,         1,    11.33, 3.38902E-006, 5.179E-008, 2.13426E-011, 3.262E-013, 6.64182E-011, 6.505E-009
"PDTJLNMASJID",     6543.2,         1,    11.33, 3.38902E-006, 5.179E-008, 2.26436E-011, 3.461E-013, 7.03114E-011, 6.505E-009
"BELLA",     6543.2,         1,    11.33, 3.38902E-006, 5.179E-008, 2.27581E-011, 3.478E-013, 7.03654E-011, 6.505E-009
"PSTPDGN",     6543.2,         1,    11.33, 3.38902E-006, 5.179E-008, 2.28846E-011, 3.497E-013, 7.01561E-011, 6.505E-009
"PAMDRA",    6543.19,         1,    11.33, 3.38901E-006, 5.179E-008, 2.04977E-011, 3.133E-013, 6.30381E-011, 6.505E-009
"DUMA4",    6543.19,         1,    11.33, 3.38901E-006, 5.179E-008, 2.36185E-011, 3.61E-013, 7.33881E-011, 6.505E-009
"PLSDRA",    6543.19,         1,    11.33, 3.38901E-006, 5.179E-008, 3.58878E-011, 5.485E-013, 1.09717E-010, 6.505E-009
"SSU_UPTWRES_IR1",    6543.19,         1,    11.33, 3.38901E-006, 5.179E-008, 3.58743E-011, 5.483E-013, 1.09676E-010, 6.505E-009
"ATRIA_1",     6543.2,         1,    11.33, 3.38902E-006, 5.179E-008, 1.91593E-011, 2.928E-013, 5.98448E-011, 6.505E-009
"HAWKER",     6543.2,         1,    11.33, 3.38902E-006, 5.179E-008, 1.96355E-011, 3.001E-013, 6.15287E-011, 6.505E-009
"PRMTE",    6543.19,         1,    11.33, 3.38901E-006, 5.179E-008, 4.81479E-011, 7.358E-013, 1.46793E-010, 6.505E-009
"PRMTA",    6543.19,         1,    11.33, 3.38901E-006, 5.179E-008, 4.84829E-011, 7.41E-013, 1.47973E-010, 6.505E-009
"PMONTB",    6543.19,         1,    11.33, 3.38901E-006, 5.179E-008, 5.08536E-011, 7.772E-013, 1.54609E-010, 6.505E-009
"DUMA7",    6543.19,         1,    11.33, 3.38901E-006, 5.179E-008, 1.93614E-011, 2.959E-013, 6.06464E-011, 6.505E-009
"HAUS",     6543.2,         1,    11.33, 3.38902E-006, 5.179E-008, 2.1664E-011, 3.311E-013, 6.76764E-011, 6.505E-009
"DUMA6",     6543.2,         1,    11.33, 3.38902E-006, 5.179E-008, 3.13951E-011, 4.798E-013, 9.48644E-011, 6.505E-009
"DUMA13",    6543.21,         1,    11.33, 3.38902E-006, 5.179E-008, 4.8871E-011, 7.469E-013, 1.47062E-010, 6.505E-009
"SSU_DUMA5_IM2",    6543.21,         1,    11.33, 3.38902E-006, 5.179E-008, 4.87931E-011, 7.457E-013, 1.47699E-010, 6.505E-009
"PLNGI_B",    6543.19,         1,    11.33, 3.38901E-006, 5.179E-008, 1.99614E-011, 3.051E-013, 6.31299E-011, 6.505E-009
"PLNGI_D",    6543.19,         1,    11.33, 3.38901E-006, 5.179E-008, 2.02251E-011, 3.091E-013, 6.27097E-011, 6.505E-009
"PDTLITRAK",     6543.2,         1,    11.33, 3.38901E-006, 5.179E-008, 1.95062E-011, 2.981E-013, 6.10178E-011, 6.505E-009
"DUMA12",     6543.2,         1,    11.33, 3.38901E-006, 5.179E-008, 1.86938E-011, 2.857E-013, 5.76406E-011, 6.505E-009
"TMNGH4",     6543.2,         1,    11.33, 3.38901E-006, 5.179E-008, 2.61982E-011, 4.004E-013, 7.99083E-011, 6.505E-009
"SSU_TMEGAH3_IR1",     6543.2,         1,    11.33, 3.38901E-006, 5.179E-008, 3.35845E-011, 5.133E-013, 1.028E-010, 6.505E-009
"TMNGH2",     6543.2,         1,    11.33, 3.38901E-006, 5.179E-008, 3.86591E-011, 5.908E-013, 1.16753E-010, 6.505E-009
"SPRK9",     6543.2,         1,    11.33, 3.38902E-006, 5.179E-008, 2.11416E-011, 3.231E-013, 6.6079E-011, 6.505E-009
"BOMBA",     6543.2,         1,    11.33, 3.38902E-006, 5.179E-008, 2.34445E-011, 3.583E-013, 7.27748E-011, 6.505E-009
"SPRK8",     6543.2,         1,    11.33, 3.38902E-006, 5.179E-008, 2.27829E-011, 3.482E-013, 7.13714E-011, 6.505E-009
"SSU_UPTWRES_IM2",    6543.19,         1,    11.33, 3.38901E-006, 5.179E-008, 2.49213E-011, 3.809E-013, 7.6923E-011, 6.505E-009
"MAYBANK",    6543.19,         1,    11.33, 3.38901E-006, 5.179E-008, 2.51615E-011, 3.845E-013, 7.74224E-011, 6.505E-009
"DUMA8",    6543.19,         1,    11.33, 3.38901E-006, 5.179E-008, 2.58948E-011, 3.958E-013, 7.95035E-011, 6.505E-009
"SSU_DSARCNTR_IR1",    6543.19,         1,    11.33, 3.38901E-006, 5.179E-008, 1.96618E-011, 3.005E-013, 6.19759E-011, 6.505E-009
"DUMA9",     6543.2,         1,    11.33, 3.38902E-006, 5.179E-008, 2.01313E-011, 3.077E-013, 6.22001E-011, 6.505E-009
"DUMA1",     6543.2,         1,    11.33, 3.38902E-006, 5.179E-008, 2.08263E-011, 3.183E-013, 6.51434E-011, 6.505E-009
"ELITE",     6543.2,         1,    11.33, 3.38902E-006, 5.179E-008, 2.06004E-011, 3.148E-013, 6.51198E-011, 6.505E-009
"DUMA10",    6543.19,         1,    11.33, 3.38903E-006, 5.179E-008, 5.74209E-011, 8.776E-013, 1.73393E-010, 6.505E-009
"BALAIPOLIS",    6543.19,         1,    11.33, 3.38903E-006, 5.179E-008, 5.68736E-011, 8.692E-013, 1.72056E-010, 6.505E-009
