Bus,  3-Phase,  1-Phase,  L-L
PPU_DUMA_33KV,      22500,      10543,      19485
PPU_DUMA_11KV,      20926,      23389,      18122
RPPLNGI2    ,      13096,      15102,      11341
PDTJLNMASJID,       9275,      10658,       8032
BELLA       ,       7131,       8142,       6175
PSTPDGN     ,       5778,       6561,       5004
PAMDRA      ,      19853,      22361,      17193
DUMA4       ,      16650,      11807,      14419
PLSDRA      ,      11044,       4053,       9564
SSU_UPTWRES_IR1,       9335,       3828,       8084
ATRIA_1     ,       7666,       8769,       6638
HAWKER      ,       4477,       3657,       3877
PRMTE       ,      11421,       6051,       9891
PRMTA       ,      10326,       5737,       8942
PMONTB      ,       9401,       4429,       8141
DUMA7       ,      17926,      20415,      15524
HAUS        ,      14505,       9038,      12561
DUMA6       ,       7571,       2401,       6556
DUMA13      ,       4400,       1187,       3810
SSU_DUMA5_IM2,       3840,       1149,       3326
PLNGI_B     ,      13096,      15102,      11341
PLNGI_D     ,       9275,      10658,       8032
PDTLITRAK   ,       9275,      10658,       8032
DUMA12      ,       7131,       8142,       6175
TMNGH4      ,       5935,       4080,       5140
SSU_TMEGAH3_IR1,       5372,       3063,       4652
TMNGH2      ,       4955,       2510,       4291
SPRK9       ,       7131,       8142,       6175
BOMBA       ,       6862,       6928,       5943
SPRK8       ,       5736,       3677,       4968
SSU_UPTWRES_IM2,      15709,      11906,      13604
MAYBANK     ,      10643,       8742,       9217
DUMA8       ,       9850,       6587,       8530
SSU_DSARCNTR_IR1,      13096,      15102,      11341
DUMA9       ,       8512,       9762,       7371
DUMA1       ,       6128,       6969,       5307
ELITE       ,       5097,       5770,       4414
DUMA10      ,       8284,       9494,       7174
BALAIPOLIS  ,       8174,       9366,       7079
