Bus,  3-Phase,  1-Phase,  L-L
PPU_DUMA_33KV,      22553,      10555,      19531
PPU_DUMA_11KV,      20997,      23460,      18184
RPPLNGI2    ,      13111,      15107,      11354
PDTJLNMASJID,       9291,      10668,       8046
BELLA       ,       7148,       8155,       6190
PSTPDGN     ,       5793,       6574,       5017
PAMDRA      ,      19907,      22414,      17240
DUMA4       ,      16664,      11799,      14431
PLSDRA      ,      11034,       4095,       9556
SSU_UPTWRES_IR1,       9332,       3867,       8081
ATRIA_1     ,       7674,       8772,       6646
HAWKER      ,       4489,       3668,       3888
PRMTE       ,      11434,       6096,       9901
PRMTA       ,      10337,       5780,       8952
PMONTB      ,       9406,       4465,       8146
DUMA7       ,      17963,      20445,      15556
HAUS        ,      14511,       9071,      12566
DUMA6       ,       7590,       2471,       6573
DUMA13      ,       4425,       1242,       3832
SSU_DUMA5_IM2,       3865,       1202,       3347
PLNGI_B     ,      13098,      15092,      11342
PLNGI_D     ,       9274,      10649,       8031
PDTLITRAK   ,       9305,      10683,       8058
DUMA12      ,       7165,       8174,       6205
TMNGH4      ,       5969,       4124,       5169
SSU_TMEGAH3_IR1,       5404,       3107,       4680
TMNGH2      ,       4985,       2548,       4317
SPRK9       ,       7150,       8158,       6192
BOMBA       ,       6881,       6943,       5959
SPRK8       ,       5752,       3695,       4981
SSU_UPTWRES_IM2,      15729,      11897,      13622
MAYBANK     ,      10649,       8749,       9222
DUMA8       ,       9851,       6598,       8531
SSU_DSARCNTR_IR1,      13091,      15084,      11337
DUMA9       ,       8527,       9772,       7385
DUMA1       ,       6146,       6984,       5322
ELITE       ,       5113,       5785,       4428
DUMA10      ,       8291,       9495,       7180
BALAIPOLIS  ,       8181,       9367,       7085
