Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"PPU_DUMA_33KV", 33, 1,    19110.2,    1.0,     1.003, 2,    19110.2, -119.0,     1.003, 3,    19110.2,  121.0,     1.003
"PPU_DUMA_11KV", 11, 1,    6370.26,  -25.4,    1.0031, 2,    6370.26, -145.4,    1.0031, 3,    6370.26,   94.6,    1.0031
"RPPLNGI2", 11, 1,    6403.22,  -25.2,    1.0082, 2,    6403.22, -145.2,    1.0082, 3,    6403.22,   94.8,    1.0082
"PDTJLNMASJID", 11, 1,    6427.97,  -24.9,    1.0121, 2,    6427.97, -144.9,    1.0121, 3,    6427.97,   95.1,    1.0121
"BELLA", 11, 1,    6444.49,  -24.8,    1.0147, 2,    6444.49, -144.8,    1.0147, 3,    6444.49,   95.2,    1.0147
"PSTPDGN", 11, 1,    6452.75,  -24.7,     1.016, 2,    6452.75, -144.7,     1.016, 3,    6452.75,   95.3,     1.016
"PAMDRA", 11, 1,    6373.59,  -25.4,    1.0036, 2,    6373.59, -145.4,    1.0036, 3,    6373.59,   94.6,    1.0036
"DUMA4", 11, 1,    6384.82,  -25.3,    1.0053, 2,    6384.82, -145.3,    1.0053, 3,    6384.82,   94.7,    1.0053
"PLSDRA", 11, 1,    6409.76,  -25.3,    1.0093, 2,    6409.76, -145.3,    1.0093, 3,    6409.76,   94.7,    1.0093
"SSU_UPTWRES_IR1", 11, 1,    6413.92,  -25.2,    1.0099, 2,    6413.92, -145.2,    1.0099, 3,    6413.92,   94.8,    1.0099
"ATRIA_1", 11, 1,    6414.89,  -25.1,    1.0101, 2,    6414.89, -145.1,    1.0101, 3,    6414.89,   94.9,    1.0101
"HAWKER", 11, 1,     6422.6,  -24.8,    1.0113, 2,     6422.6, -144.8,    1.0113, 3,     6422.6,   95.2,    1.0113
"PRMTE", 11, 1,    6400.13,  -25.1,    1.0078, 2,    6400.13, -145.1,    1.0078, 3,    6400.13,   94.9,    1.0078
"PRMTA", 11, 1,    6405.12,  -25.1,    1.0085, 2,    6405.12, -145.1,    1.0085, 3,    6405.12,   94.9,    1.0085
"PMONTB", 11, 1,    6409.08,  -25.1,    1.0092, 2,    6409.08, -145.1,    1.0092, 3,    6409.08,   94.9,    1.0092
"DUMA7", 11, 1,    6382.56,  -25.3,     1.005, 2,    6382.56, -145.3,     1.005, 3,    6382.56,   94.7,     1.005
"HAUS", 11, 1,    6407.15,  -25.2,    1.0089, 2,    6407.15, -145.2,    1.0089, 3,    6407.15,   94.8,    1.0089
"DUMA6", 11, 1,    6474.54,  -25.0,    1.0195, 2,    6474.54, -145.0,    1.0195, 3,    6474.54,   95.0,    1.0195
"DUMA13", 11, 1,    6535.65,  -24.8,    1.0291, 2,    6535.65, -144.8,    1.0291, 3,    6535.65,   95.2,    1.0291
"SSU_DUMA5_IM2", 11, 1,     6543.8,  -24.7,    1.0304, 2,     6543.8, -144.7,    1.0304, 3,     6543.8,   95.3,    1.0304
"PLNGI_B", 11, 1,    6386.92,  -25.3,    1.0057, 2,    6386.92, -145.3,    1.0057, 3,    6386.92,   94.7,    1.0057
"PLNGI_D", 11, 1,    6395.26,  -25.2,     1.007, 2,    6395.26, -145.2,     1.007, 3,    6395.26,   94.8,     1.007
"PDTLITRAK", 11, 1,    6451.42,  -24.7,    1.0158, 2,    6451.42, -144.7,    1.0158, 3,    6451.42,   95.3,    1.0158
"DUMA12", 11, 1,    6484.05,  -24.5,     1.021, 2,    6484.05, -144.5,     1.021, 3,    6484.05,   95.5,     1.021
"TMNGH4", 11, 1,    6514.68,  -24.4,    1.0258, 2,    6514.68, -144.4,    1.0258, 3,    6514.68,   95.6,    1.0258
"SSU_TMEGAH3_IR1", 11, 1,    6526.93,  -24.3,    1.0277, 2,    6526.93, -144.3,    1.0277, 3,    6526.93,   95.7,    1.0277
"TMNGH2", 11, 1,    6532.24,  -24.3,    1.0286, 2,    6532.24, -144.3,    1.0286, 3,    6532.24,   95.7,    1.0286
"SPRK9", 11, 1,    6444.27,  -24.8,    1.0147, 2,    6444.27, -144.8,    1.0147, 3,    6444.27,   95.2,    1.0147
"BOMBA", 11, 1,     6448.4,  -24.8,    1.0154, 2,     6448.4, -144.8,    1.0154, 3,     6448.4,   95.2,    1.0154
"SPRK8", 11, 1,    6458.72,  -24.8,     1.017, 2,    6458.72, -144.8,     1.017, 3,    6458.72,   95.2,     1.017
"SSU_UPTWRES_IM2", 11, 1,    6382.73,  -25.3,     1.005, 2,    6382.73, -145.3,     1.005, 3,    6382.73,   94.7,     1.005
"MAYBANK", 11, 1,    6399.37,  -25.2,    1.0076, 2,    6399.37, -145.2,    1.0076, 3,    6399.37,   94.8,    1.0076
"DUMA8", 11, 1,     6402.5,  -25.2,    1.0081, 2,     6402.5, -145.2,    1.0081, 3,     6402.5,   94.8,    1.0081
"SSU_DSARCNTR_IR1", 11, 1,    6378.62,  -25.4,    1.0044, 2,    6378.62, -145.4,    1.0044, 3,    6378.62,   94.6,    1.0044
"DUMA9", 11, 1,       6427,  -25.0,     1.012, 2,       6427, -145.0,     1.012, 3,       6427,   95.0,     1.012
"DUMA1", 11, 1,    6450.09,  -24.8,    1.0156, 2,    6450.09, -144.8,    1.0156, 3,    6450.09,   95.2,    1.0156
"ELITE", 11, 1,    6458.34,  -24.7,    1.0169, 2,    6458.34, -144.7,    1.0169, 3,    6458.34,   95.3,    1.0169
"DUMA10", 11, 1,    6410.09,  -25.1,    1.0093, 2,    6410.09, -145.1,    1.0093, 3,    6410.09,   94.9,    1.0093
"BALAIPOLIS", 11, 1,     6410.5,  -25.1,    1.0094, 2,     6410.5, -145.1,    1.0094, 3,     6410.5,   94.9,    1.0094
"PPU_DUMA_VCB1", 33, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
