Bus,  V1,  p.u.,Base kV, V2, %V2/V1, V0, %V0/V1, Vresidual, %NEMA
"PPU_DUMA_33KV",    19059.9,    1.0004,    33.00, 9.46103E-006, 4.964E-008, 1.23938E-006, 6.503E-009, 3.71815E-006, 7.178E-009
"PPU_DUMA_11KV",     6261.1,   0.98587,    11.00, 3.43522E-006, 5.487E-008, 9.99912E-007, 1.597E-008, 2.99973E-006, 9.542E-009
"RPPLNGI2",    6358.53,    1.0012,    11.00, 3.48032E-006, 5.473E-008, 1.02884E-006, 1.618E-008, 3.0865E-006, 9.416E-009
"PDTJLNMASJID",    6431.89,    1.0128,    11.00, 3.51425E-006, 5.464E-008, 1.05062E-006, 1.633E-008, 3.15187E-006, 9.323E-009
"BELLA",    6480.92,    1.0205,    11.00, 3.53691E-006, 5.457E-008, 1.0652E-006, 1.644E-008, 3.19558E-006, 9.262E-009
"PSTPDGN",    6505.48,    1.0243,    11.00, 3.54825E-006, 5.454E-008, 1.07249E-006, 1.649E-008, 3.21748E-006, 9.231E-009
"PAMDRA",    6271.14,   0.98745,    11.00, 3.43991E-006, 5.485E-008, 1.00326E-006, 1.6E-008, 3.00978E-006, 9.529E-009
"DUMA4",    6304.99,   0.99278,    11.00, 3.45561E-006, 5.481E-008, 1.16146E-006, 1.842E-008, 3.48438E-006, 9.486E-009
"PLSDRA",    6380.05,    1.0046,    11.00, 3.49008E-006, 5.47E-008, 1.45975E-006, 2.288E-008, 4.37925E-006, 9.384E-009
"SSU_UPTWRES_IR1",    6392.55,    1.0066,    11.00, 3.49599E-006, 5.469E-008, 1.46441E-006, 2.291E-008, 4.39323E-006, 9.37E-009
"ATRIA_1",    6393.76,    1.0068,    11.00, 3.49646E-006, 5.469E-008, 1.0387E-006, 1.625E-008, 3.1161E-006, 9.369E-009
"HAWKER",    6416.43,    1.0103,    11.00, 3.50786E-006, 5.467E-008, 1.044E-006, 1.627E-008, 3.13201E-006, 9.358E-009
"PRMTE",     6350.6,   0.99996,    11.00, 3.47792E-006, 5.477E-008, 1.37523E-006, 2.166E-008, 4.12569E-006, 9.447E-009
"PRMTA",    6365.65,    1.0023,    11.00, 3.48502E-006, 5.475E-008, 1.38064E-006, 2.169E-008, 4.14192E-006, 9.43E-009
"PMONTB",    6377.56,    1.0042,    11.00, 3.49049E-006, 5.473E-008, 1.42698E-006, 2.237E-008, 4.28093E-006, 9.414E-009
"DUMA7",    6297.13,   0.99154,    11.00, 3.52566E-006, 5.599E-008, 1.01829E-006, 1.617E-008, 3.05486E-006, 1.066E-008
"HAUS",    6369.25,    1.0029,    11.00, 3.69763E-006, 5.805E-008, 7.53695E-006, 1.183E-007, 2.26109E-005, 1.275E-008
"DUMA6",     6565.4,    1.0338,    11.00, 4.27216E-006, 6.507E-008, 3.3467E-005, 5.097E-007, 0.000100401, 1.978E-008
"DUMA13",    6742.56,    1.0617,    11.00, 4.86935E-006, 7.222E-008, 6.13336E-005, 9.096E-007, 0.000184001, 2.686E-008
"SSU_DUMA5_IM2",    6766.18,    1.0654,    11.00, 4.96927E-006, 7.344E-008, 6.16864E-005, 9.117E-007, 0.000185059, 2.809E-008
"PLNGI_B",    6311.44,   0.99379,    11.00, 3.45835E-006, 5.48E-008, 1.01421E-006, 1.607E-008, 3.04262E-006, 9.474E-009
"PLNGI_D",    6336.64,   0.99776,    11.00, 3.46993E-006, 5.476E-008, 1.02137E-006, 1.612E-008, 3.0641E-006, 9.44E-009
"PDTLITRAK",    6494.37,    1.0226,    11.00, 3.54632E-006, 5.461E-008, 1.09117E-006, 1.68E-008, 3.27351E-006, 9.296E-009
"DUMA12",    6589.11,    1.0375,    11.00, 3.59141E-006, 5.451E-008, 1.12951E-006, 1.714E-008, 3.38852E-006, 9.199E-009
"TMNGH4",    6678.41,    1.0516,    11.00, 3.63284E-006, 5.44E-008, 1.5403E-006, 2.306E-008, 4.6209E-006, 9.093E-009
"SSU_TMEGAH3_IR1",    6714.09,    1.0572,    11.00, 3.64941E-006, 5.435E-008, 1.70997E-006, 2.547E-008, 5.12991E-006, 9.051E-009
"TMNGH2",    6729.54,    1.0596,    11.00, 3.65659E-006, 5.434E-008, 1.78476E-006, 2.652E-008, 5.35426E-006, 9.033E-009
"SPRK9",    6479.05,    1.0202,    11.00, 3.53669E-006, 5.459E-008, 1.06811E-006, 1.649E-008, 3.20431E-006, 9.274E-009
"BOMBA",    6491.33,    1.0221,    11.00, 3.54231E-006, 5.457E-008, 1.10975E-006, 1.71E-008, 3.32925E-006, 9.258E-009
"SPRK8",    6521.99,    1.0269,    11.00, 3.55636E-006, 5.453E-008, 1.21717E-006, 1.866E-008, 3.65151E-006, 9.217E-009
"SSU_UPTWRES_IM2",    6298.62,   0.99178,    11.00, 3.4528E-006, 5.482E-008, 1.13684E-006, 1.805E-008, 3.41052E-006, 9.497E-009
"MAYBANK",     6348.8,   0.99968,    11.00, 3.47614E-006, 5.475E-008, 1.15255E-006, 1.815E-008, 3.45766E-006, 9.434E-009
"DUMA8",    6358.23,    1.0012,    11.00, 3.48044E-006, 5.474E-008, 1.18452E-006, 1.863E-008, 3.55355E-006, 9.421E-009
"SSU_DSARCNTR_IR1",    6286.51,   0.98987,    11.00, 3.44687E-006, 5.483E-008, 1.00704E-006, 1.602E-008, 3.02111E-006, 9.507E-009
"DUMA9",    6428.11,    1.0122,    11.00, 3.51264E-006, 5.465E-008, 1.05003E-006, 1.634E-008, 3.1501E-006, 9.33E-009
"DUMA1",     6496.5,    1.0229,    11.00, 3.54427E-006, 5.456E-008, 1.07048E-006, 1.648E-008, 3.21143E-006, 9.245E-009
"ELITE",       6521,    1.0268,    11.00, 3.55559E-006, 5.453E-008, 1.07779E-006, 1.653E-008, 3.23337E-006, 9.215E-009
"DUMA10",    6380.44,    1.0047,    11.00, 3.49025E-006, 5.47E-008, 1.03437E-006, 1.621E-008, 3.10312E-006, 9.385E-009
"BALAIPOLIS",    6381.69,    1.0049,    11.00, 3.49083E-006, 5.47E-008, 1.03473E-006, 1.621E-008, 3.1042E-006, 9.383E-009
"PPU_DUMA_VCB1",          0,         0,    33.00,          0,        0,          0,        0,          0,        0
