Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"PPU_DUMA_33KV", 33, 1,    18986.8,    2.6,   0.99655, 2,    18986.8, -117.4,   0.99655, 3,    18986.8,  122.6,   0.99655
"PPU_DUMA_11KV", 11, 1,    6151.74,  -18.5,   0.96865, 2,    6151.74, -138.5,   0.96865, 3,    6151.74,  101.5,   0.96865
"RPPLNGI2", 11, 1,    6215.32,  -17.7,   0.97866, 2,    6215.32, -137.7,   0.97866, 3,    6215.32,  102.3,   0.97866
"PDTJLNMASJID", 11, 1,    6263.38,  -17.1,   0.98623, 2,    6263.38, -137.1,   0.98623, 3,    6263.38,  102.9,   0.98623
"BELLA", 11, 1,    6295.59,  -16.7,    0.9913, 2,    6295.59, -136.7,    0.9913, 3,    6295.59,  103.3,    0.9913
"PSTPDGN", 11, 1,    6311.75,  -16.5,   0.99384, 2,    6311.75, -136.5,   0.99384, 3,    6311.75,  103.5,   0.99384
"PAMDRA", 11, 1,    6160.22,  -18.4,   0.96998, 2,    6160.22, -138.4,   0.96998, 3,    6160.22,  101.6,   0.96998
"DUMA4", 11, 1,    6188.47,  -18.2,   0.97443, 2,    6188.47, -138.2,   0.97443, 3,    6188.47,  101.8,   0.97443
"PLSDRA", 11, 1,    6248.94,  -17.9,   0.98395, 2,    6248.94, -137.9,   0.98395, 3,    6248.94,  102.1,   0.98395
"SSU_UPTWRES_IR1", 11, 1,    6256.17,  -17.8,   0.98509, 2,    6256.17, -137.8,   0.98509, 3,    6256.17,  102.2,   0.98509
"ATRIA_1", 11, 1,    6256.84,  -17.3,    0.9852, 2,    6256.84, -137.3,    0.9852, 3,    6256.84,  102.7,    0.9852
"HAWKER", 11, 1,    6273.84,  -16.5,   0.98787, 2,    6273.84, -136.5,   0.98787, 3,    6273.84,  103.5,   0.98787
"PRMTE", 11, 1,    6189.46,  -17.7,   0.97459, 2,    6189.46, -137.7,   0.97459, 3,    6189.46,  102.3,   0.97459
