Bus,  V1,  p.u.,Base kV, V2, %V2/V1, V0, %V0/V1, Vresidual, %NEMA
"PPU_DUMA_33KV",    18888.8,   0.99141,    33.00, 3.4438E-006, 1.823E-008, 1.23938E-006, 6.561E-009, 3.71815E-006, 4.61E-008
"PPU_DUMA_11KV",    6026.52,   0.94893,    11.00, 1.24866E-005, 2.072E-007, 0.000146556, 2.432E-006, 0.000439667, 2.142E-007
"RPPLNGI2",    6125.13,   0.96446,    11.00, 1.23805E-005, 2.021E-007, 0.000149648, 2.443E-006, 0.000448944, 2.086E-007
"PDTJLNMASJID",     6199.8,   0.97622,    11.00, 1.2303E-005, 1.984E-007, 0.000151982, 2.451E-006, 0.000455946, 2.049E-007
"BELLA",     6249.9,    0.9841,    11.00, 1.22523E-005, 1.96E-007, 0.000153545, 2.457E-006, 0.000460636, 2.036E-007
"PSTPDGN",    6275.04,   0.98806,    11.00, 1.22272E-005, 1.949E-007, 0.000154329, 2.459E-006, 0.000462987, 2.03E-007
"PAMDRA",    6038.75,   0.95086,    11.00, 1.24682E-005, 2.065E-007, 0.00014696, 2.434E-006, 0.000440879, 2.134E-007
"DUMA4",     6079.6,   0.95729,    11.00, 1.24136E-005, 2.042E-007, 0.000165668, 2.725E-006, 0.000497005, 2.112E-007
"PLSDRA",    6167.96,    0.9712,    11.00, 1.23093E-005, 1.996E-007, 0.000200221, 3.246E-006, 0.000600664, 2.069E-007
"SSU_UPTWRES_IR1",     6179.8,   0.97307,    11.00, 1.22838E-005, 1.988E-007, 0.000200707, 3.248E-006, 0.00060212, 2.061E-007
"ATRIA_1",    6179.68,   0.97305,    11.00, 1.23315E-005, 1.995E-007, 0.000151074, 2.445E-006, 0.000453222, 2.06E-007
"HAWKER",     6204.7,   0.97699,    11.00, 1.22047E-005, 1.967E-007, 0.000152945, 2.465E-006, 0.000458835, 2.048E-007
"PRMTE",    6096.97,   0.96002,    11.00, 1.23098E-005, 2.019E-007, 0.000180989, 2.969E-006, 0.000542967, 2.08E-007
"PRMTA",    6110.05,   0.96208,    11.00, 1.22832E-005, 2.01E-007, 0.000181495, 2.97E-006, 0.000544485, 2.071E-007
"PMONTB",    6123.22,   0.96416,    11.00, 1.22693E-005, 2.004E-007, 0.000186314, 3.043E-006, 0.000558942, 2.064E-007
"DUMA7",    6066.15,   0.95517,    11.00, 1.53667E-005, 2.533E-007, 0.000151305, 2.494E-006, 0.000453915, 2.741E-007
"HAUS",    6154.05,   0.96901,    11.00, 2.04895E-005, 3.329E-007, 0.00107254, 1.743E-005, 0.00321761, 3.768E-007
"DUMA6",    6395.04,     1.007,    11.00, 4.52632E-005, 7.078E-007, 0.00473405, 7.403E-005,  0.0142022, 7.138E-007
"DUMA13",    6617.03,    1.0419,    11.00, 7.41016E-005, 1.12E-006, 0.00870978, 0.0001316,  0.0261293, 1.045E-006
"SSU_DUMA5_IM2",    6643.87,    1.0461,    11.00, 7.87873E-005, 1.186E-006, 0.00875764, 0.0001318,  0.0262729, 1.109E-006
"PLNGI_B",    6090.43,   0.95899,    11.00, 1.24275E-005, 2.04E-007, 0.000148303, 2.435E-006, 0.00044491, 2.109E-007
