Bus,  V1,  p.u.,Base kV, V2, %V2/V1, V0, %V0/V1, Vresidual, %NEMA
"PPU_DUMA_33KV",    18911.5,   0.99259,    33.00, 9.25438E-006, 4.894E-008, 1.23938E-006, 6.554E-009, 3.71815E-006, 6.556E-009
"PPU_DUMA_11KV",    6369.98,   0.97354,    11.33, 3.31109E-006, 5.198E-008, 1.47936E-008, 2.322E-010, 4.43825E-008, 6.689E-009
"RPPLNGI2",       6337,    0.9685,    11.33, 3.2962E-006, 5.202E-008, 1.53264E-008, 2.419E-010, 4.59817E-008, 6.725E-009
"PDTJLNMASJID",    6312.22,   0.96471,    11.33, 3.28501E-006, 5.204E-008, 1.58646E-008, 2.513E-010, 4.75958E-008, 6.752E-009
"BELLA",    6295.69,   0.96219,    11.33, 3.27755E-006, 5.206E-008, 1.62838E-008, 2.587E-010, 4.88538E-008, 6.77E-009
"PSTPDGN",    6287.42,   0.96092,    11.33, 3.27382E-006, 5.207E-008, 1.651E-008, 2.626E-010, 4.95325E-008, 6.779E-009
"PAMDRA",     6368.6,   0.97333,    11.33, 3.31047E-006, 5.198E-008, 1.48048E-008, 2.325E-010, 4.44167E-008, 6.691E-009
"DUMA4",    6363.59,   0.97256,    11.33, 3.30821E-006, 5.199E-008, 1.54962E-008, 2.435E-010, 4.6491E-008, 6.696E-009
"PLSDRA",    6350.23,   0.97052,    11.33, 3.3022E-006, 5.2E-008, 2.10335E-008, 3.312E-010, 6.31027E-008, 6.711E-009
"SSU_UPTWRES_IR1",    6345.22,   0.96976,    11.33, 3.29994E-006, 5.201E-008, 2.12734E-008, 3.353E-010, 6.38226E-008, 6.717E-009
"ATRIA_1",    6344.43,   0.96964,    11.33, 3.29955E-006, 5.201E-008, 1.51194E-008, 2.383E-010, 4.53601E-008, 6.717E-009
"HAWKER",     6339.1,   0.96882,    11.33, 3.29714E-006, 5.201E-008, 1.65354E-008, 2.608E-010, 4.96085E-008, 6.723E-009
"PRMTE",    6320.55,   0.96598,    11.33, 3.28891E-006, 5.204E-008, 3.54904E-008, 5.615E-010, 1.06473E-007, 6.745E-009
"PRMTA",    6313.42,    0.9649,    11.33, 3.28571E-006, 5.204E-008, 3.58853E-008, 5.684E-010, 1.07658E-007, 6.753E-009
"PMONTB",    6310.36,   0.96443,    11.33, 3.28434E-006, 5.205E-008, 3.79424E-008, 6.013E-010, 1.13829E-007, 6.757E-009
"DUMA7",    6363.22,   0.97251,    11.33, 3.30803E-006, 5.199E-008, 1.48653E-008, 2.336E-010, 4.45976E-008, 6.697E-009
"HAUS",    6357.73,   0.97167,    11.33, 3.30556E-006, 5.199E-008, 1.52724E-008, 2.402E-010, 4.58199E-008, 6.703E-009
"DUMA6",    6348.37,   0.97024,    11.33, 3.30135E-006, 5.2E-008, 1.78489E-008, 2.812E-010, 5.35489E-008, 6.713E-009
"DUMA13",    6350.29,   0.97053,    11.33, 3.30222E-006, 5.2E-008, 1.54998E-008, 2.441E-010, 4.6502E-008, 6.711E-009
