Bus,  3-Phase,  1-Phase,  L-L
PPU_DUMA_33KV,      22558,      10463,      19535
PPU_DUMA_11KV,      20998,      23382,      18184
RPPLNGI2    ,      12874,      14776,      11149
PDTJLNMASJID,       9066,      10366,       7851
BELLA       ,       6950,       7898,       6018
PSTPDGN     ,       5616,       6349,       4863
PAMDRA      ,      19840,      22265,      17182
DUMA4       ,      16433,      11422,      14231
PLSDRA      ,      10721,       4036,       9284
SSU_UPTWRES_IR1,       9057,       3808,       7844
ATRIA_1     ,       7462,       8500,       6462
HAWKER      ,       4359,       3556,       3775
PRMTE       ,      11217,       6102,       9714
PRMTA       ,      10117,       5775,       8761
PMONTB      ,       9171,       4449,       7942
DUMA7       ,      17810,      20203,      15423
HAUS        ,      14207,       8778,      12303
DUMA6       ,       7335,       2435,       6352
DUMA13      ,       4265,       1219,       3693
SSU_DUMA5_IM2,       3724,       1178,       3225
PLNGI_B     ,      12829,      14728,      11110
PLNGI_D     ,       9024,      10326,       7814
PDTLITRAK   ,       9077,      10379,       7860
DUMA12      ,       6970,       7920,       6036
TMNGH4      ,       5790,       4009,       5014
SSU_TMEGAH3_IR1,       5233,       3035,       4532
TMNGH2      ,       4821,       2494,       4175
SPRK9       ,       6965,       7912,       6031
BOMBA       ,       6697,       6719,       5800
SPRK8       ,       5574,       3578,       4827
SSU_UPTWRES_IM2,      15528,      11566,      13447
MAYBANK     ,      10394,       8490,       9001
DUMA8       ,       9592,       6393,       8306
SSU_DSARCNTR_IR1,      12818,      14716,      11100
DUMA9       ,       8308,       9484,       7195
DUMA1       ,       5968,       6758,       5168
ELITE       ,       4955,       5587,       4291
DUMA10      ,       8065,       9204,       6984
BALAIPOLIS  ,       7957,       9078,       6890
SSU_DUMA5_M11KV,          0,          0,          0
