Bus,  V1,  p.u.,Base kV, V2, %V2/V1, V0, %V0/V1, Vresidual, %NEMA
"PPU_DUMA_33KV",    19116.2,    1.0033,    33.00, 9.32288E-006, 4.877E-008, 1.23938E-006, 6.483E-009, 3.71814E-006, 6.489E-009
"PPU_DUMA_11KV_A",    6379.69,    1.0045,    11.00, 3.30294E-006, 5.177E-008, 1.41782E-008, 2.222E-010, 4.25346E-008, 6.482E-009
"PPU_DUMA_11KV_B",     6379.1,    1.0044,    11.00, 3.30299E-006, 5.178E-008, 2.01917E-008, 3.165E-010, 6.05751E-008, 6.487E-009
"RPPLNGI2",    6412.02,    1.0096,    11.00, 3.3179E-006, 5.175E-008, 2.08593E-008, 3.253E-010, 6.25769E-008, 6.454E-009
"PDTJLNMASJID",    6436.74,    1.0135,    11.00, 3.3291E-006, 5.172E-008, 2.15292E-008, 3.345E-010, 6.45862E-008, 6.429E-009
"BELLA",    6453.23,    1.0161,    11.00, 3.33657E-006, 5.17E-008, 2.20501E-008, 3.417E-010, 6.61486E-008, 6.412E-009
"PSTPDGN",    6461.48,    1.0174,    11.00, 3.3403E-006, 5.17E-008, 2.23315E-008, 3.456E-010, 6.69925E-008, 6.404E-009
"ATRIA_1",    6423.67,    1.0115,    11.00, 3.32319E-006, 5.173E-008, 2.11556E-008, 3.293E-010, 6.34653E-008, 6.442E-009
"HAWKER",    6431.37,    1.0127,    11.00, 3.32669E-006, 5.173E-008, 2.79541E-008, 4.347E-010, 8.38612E-008, 6.434E-009
"DUMA7",    6391.38,    1.0064,    11.00, 3.30872E-006, 5.177E-008, 2.03858E-008, 3.19E-010, 6.11573E-008, 6.477E-009
"HAUS",    6415.95,    1.0102,    11.00, 3.32028E-006, 5.175E-008, 2.78375E-008, 4.339E-010, 8.35111E-008, 6.459E-009
"DUMA6",    6483.24,    1.0208,    11.00, 3.35225E-006, 5.171E-008, 6.66453E-008, 1.028E-009, 1.99934E-007, 6.415E-009
"DUMA13",    6544.28,    1.0305,    11.00, 3.38147E-006, 5.167E-008, 1.04411E-007, 1.595E-009, 3.1323E-007, 6.379E-009
"SSU_DUMA5_IM2",    6552.42,    1.0317,    11.00, 3.38536E-006, 5.167E-008, 1.04904E-007, 1.601E-009, 3.14711E-007, 6.374E-009
"PDTLITRAK",    6460.16,    1.0172,    11.00, 3.34002E-006, 5.17E-008, 2.2335E-008, 3.457E-010, 6.70042E-008, 6.41E-009
"DUMA12",    6492.74,    1.0223,    11.00, 3.35492E-006, 5.167E-008, 2.35534E-008, 3.628E-010, 7.06583E-008, 6.38E-009
"TMNGH4",    6523.34,    1.0272,    11.00, 3.36898E-006, 5.164E-008, 3.92874E-008, 6.023E-010, 1.1786E-007, 6.353E-009
"SSU_TMEGAH3_IR1",    6535.58,    1.0291,    11.00, 3.3746E-006, 5.163E-008, 4.72379E-008, 7.228E-010, 1.41712E-007, 6.342E-009
"TMNGH2",    6540.88,    1.0299,    11.00, 3.37704E-006, 5.163E-008, 5.07997E-008, 7.766E-010, 1.52396E-007, 6.338E-009
"SSU_UPTWRES_IM2",    6391.56,    1.0064,    11.00, 3.30865E-006, 5.177E-008, 2.34287E-008, 3.666E-010, 7.02844E-008, 6.475E-009
"MAYBANK",    6408.18,     1.009,    11.00, 3.3162E-006, 5.175E-008, 2.42141E-008, 3.779E-010, 7.26403E-008, 6.458E-009
"DUMA8",     6411.3,    1.0095,    11.00, 3.31762E-006, 5.175E-008, 2.55884E-008, 3.991E-010, 7.67634E-008, 6.455E-009
"DUMA9",    6435.77,    1.0134,    11.00, 3.32866E-006, 5.172E-008, 2.15103E-008, 3.342E-010, 6.45287E-008, 6.43E-009
"DUMA1",    6458.83,     1.017,    11.00, 3.3391E-006, 5.17E-008, 2.22506E-008, 3.445E-010, 6.67502E-008, 6.406E-009
