Bus,  V1,  p.u.,Base kV, V2, %V2/V1, V0, %V0/V1, Vresidual, %NEMA
"PPU_DUMA_33KV",    19118.2,    1.0034,    33.00, 9.24585E-006, 4.836E-008, 1.23938E-006, 6.483E-009, 3.71815E-006, 6.389E-009
"PPU_DUMA_11KV_A",    6366.18,    1.0024,    11.00, 3.29281E-006, 5.172E-008, 4.31077E-008, 6.771E-010, 1.29324E-007, 6.421E-009
"PPU_DUMA_11KV_B",    6327.79,   0.99637,    11.00, 3.237E-006, 5.116E-008, 4.46438E-007, 7.055E-009, 1.33931E-006, 5.806E-009
"RPPLNGI2",    6424.29,    1.0116,    11.00, 3.28011E-006, 5.106E-008, 4.52239E-007, 7.04E-009, 1.35672E-006, 5.705E-009
"PDTJLNMASJID",    6496.94,     1.023,    11.00, 3.31256E-006, 5.099E-008, 4.56728E-007, 7.03E-009, 1.37018E-006, 5.632E-009
"BELLA",     6545.5,    1.0306,    11.00, 3.33425E-006, 5.094E-008, 4.59783E-007, 7.024E-009, 1.37935E-006, 5.583E-009
"PSTPDGN",    6569.82,    1.0345,    11.00, 3.3451E-006, 5.092E-008, 4.6133E-007, 7.022E-009, 1.38399E-006, 5.559E-009
"ATRIA_1",    6459.16,    1.0171,    11.00, 3.29588E-006, 5.103E-008, 4.54033E-007, 7.029E-009, 1.3621E-006, 5.673E-009
"HAWKER",    6481.62,    1.0206,    11.00, 3.30558E-006, 5.1E-008, 4.69908E-007, 7.25E-009, 1.40972E-006, 5.641E-009
"DUMA7",    6363.48,     1.002,    11.00, 3.23543E-006, 5.084E-008, 4.63563E-007, 7.285E-009, 1.39069E-006, 5.49E-009
"HAUS",    6434.92,    1.0132,    11.00, 3.23233E-006, 5.023E-008, 2.18788E-006, 3.4E-008, 6.56365E-006, 4.88E-009
"DUMA6",    6629.23,    1.0438,    11.00, 3.1974E-006, 4.823E-008, 9.35475E-006, 1.411E-007, 2.80642E-005, 3.337E-009
"DUMA13",    6804.76,    1.0715,    11.00, 3.14684E-006, 4.624E-008, 1.70492E-005, 2.505E-007, 5.11476E-005, 2.064E-009
"SSU_DUMA5_IM2",    6828.16,    1.0752,    11.00, 3.13573E-006, 4.592E-008, 1.71468E-005, 2.511E-007, 5.14403E-005, 1.958E-009
"PDTLITRAK",       6559,    1.0328,    11.00, 3.34178E-006, 5.095E-008, 4.69074E-007, 7.152E-009, 1.40722E-006, 5.594E-009
"DUMA12",    6652.87,    1.0476,    11.00, 3.38447E-006, 5.087E-008, 4.78893E-007, 7.198E-009, 1.43668E-006, 5.515E-009
"TMNGH4",    6741.34,    1.0615,    11.00, 3.42557E-006, 5.081E-008, 5.81551E-007, 8.627E-009, 1.74465E-006, 5.457E-009
"SSU_TMEGAH3_IR1",    6776.69,    1.0671,    11.00, 3.44205E-006, 5.079E-008, 6.25471E-007, 9.23E-009, 1.87642E-006, 5.435E-009
"TMNGH2",       6792,    1.0695,    11.00, 3.4492E-006, 5.078E-008, 6.4508E-007, 9.498E-009, 1.93524E-006, 5.426E-009
"SSU_UPTWRES_IM2",    6364.93,    1.0022,    11.00, 3.2537E-006, 5.112E-008, 4.70508E-007, 7.392E-009, 1.41153E-006, 5.769E-009
"MAYBANK",     6414.6,      1.01,    11.00, 3.27612E-006, 5.107E-008, 4.73759E-007, 7.386E-009, 1.42128E-006, 5.721E-009
"DUMA8",    6423.94,    1.0115,    11.00, 3.28039E-006, 5.107E-008, 4.7964E-007, 7.466E-009, 1.43892E-006, 5.713E-009
"DUMA9",    6493.23,    1.0224,    11.00, 3.31094E-006, 5.099E-008, 4.56815E-007, 7.035E-009, 1.37045E-006, 5.636E-009
"DUMA1",    6560.96,    1.0331,    11.00, 3.34119E-006, 5.093E-008, 4.61155E-007, 7.029E-009, 1.38347E-006, 5.568E-009
"ELITE",    6585.22,    1.0369,    11.00, 3.35203E-006, 5.09E-008, 4.62725E-007, 7.027E-009, 1.38818E-006, 5.545E-009
"PAMDRA",    6376.06,     1.004,    11.00, 3.29735E-006, 5.171E-008, 4.32668E-008, 6.786E-010, 1.298E-007, 6.411E-009
"DUMA4",    6409.37,    1.0092,    11.00, 3.31273E-006, 5.169E-008, 5.65096E-008, 8.817E-010, 1.69527E-007, 6.382E-009
"PLSDRA",    6483.24,    1.0208,    11.00, 3.34702E-006, 5.163E-008, 1.04708E-007, 1.615E-009, 3.1412E-007, 6.322E-009
"PRMTE",    6454.28,    1.0163,    11.00, 3.33366E-006, 5.165E-008, 9.14784E-008, 1.417E-009, 2.74433E-007, 6.345E-009
"PRMTA",    6469.09,    1.0186,    11.00, 3.34052E-006, 5.164E-008, 9.2536E-008, 1.43E-009, 2.77606E-007, 6.333E-009
"PMONTB",    6480.81,    1.0205,    11.00, 3.34596E-006, 5.163E-008, 1.0084E-007, 1.556E-009, 3.02518E-007, 6.323E-009
"PLNGI_B",    6415.71,    1.0102,    11.00, 3.31515E-006, 5.167E-008, 4.40464E-008, 6.865E-010, 1.32139E-007, 6.368E-009
"PLNGI_D",    6440.51,    1.0141,    11.00, 3.32633E-006, 5.165E-008, 4.46306E-008, 6.93E-010, 1.33891E-007, 6.343E-009
"SPRK9",    6580.89,    1.0362,    11.00, 3.39053E-006, 5.152E-008, 4.96951E-008, 7.551E-010, 1.49085E-007, 6.213E-009
"BOMBA",    6592.99,    1.0381,    11.00, 3.39604E-006, 5.151E-008, 5.42345E-008, 8.226E-010, 1.627E-007, 6.202E-009
"SPRK8",    6623.17,    1.0429,    11.00, 3.40986E-006, 5.148E-008, 6.98107E-008, 1.054E-009, 2.0943E-007, 6.176E-009
"SSU_DSARCNTR_IR1",    6391.18,    1.0063,    11.00, 3.30407E-006, 5.17E-008, 4.35244E-008, 6.81E-010, 1.30573E-007, 6.394E-009
"DUMA10",    6483.65,    1.0209,    11.00, 3.3459E-006, 5.161E-008, 4.59265E-008, 7.083E-010, 1.37778E-007, 6.3E-009
"BALAIPOLIS",    6484.88,    1.0211,    11.00, 3.34645E-006, 5.16E-008, 4.59639E-008, 7.088E-010, 1.3789E-007, 6.298E-009
"SSU_UPTWRES_IR1",    6495.55,    1.0228,    11.00, 3.35274E-006, 5.162E-008, 1.0561E-007, 1.626E-009, 3.16827E-007, 6.312E-009
"PPU_DUMA_VCB1",          0,         0,    33.00,          0,        0,          0,        0,          0,        0
