Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"PPU_DUMA_33KV", 33, 1,    19118.2,    3.1,    1.0034, 2,    19118.2, -116.9,    1.0034, 3,    19118.2,  123.1,    1.0034
"PPU_DUMA_11KV_A", 11, 1,    6366.18,  -21.0,    1.0024, 2,    6366.18, -141.0,    1.0024, 3,    6366.18,   99.0,    1.0024
"PPU_DUMA_11KV_B", 11, 1,    6327.79,  -18.4,   0.99637, 2,    6327.79, -138.4,   0.99637, 3,    6327.79,  101.6,   0.99637
"RPPLNGI2", 11, 1,    6424.29,  -17.5,    1.0116, 2,    6424.29, -137.5,    1.0116, 3,    6424.29,  102.5,    1.0116
"PDTJLNMASJID", 11, 1,    6496.94,  -16.9,     1.023, 2,    6496.94, -136.9,     1.023, 3,    6496.94,  103.1,     1.023
"BELLA", 11, 1,     6545.5,  -16.5,    1.0306, 2,     6545.5, -136.5,    1.0306, 3,     6545.5,  103.5,    1.0306
"PSTPDGN", 11, 1,    6569.82,  -16.3,    1.0345, 2,    6569.82, -136.3,    1.0345, 3,    6569.82,  103.7,    1.0345
"ATRIA_1", 11, 1,    6459.16,  -17.2,    1.0171, 2,    6459.16, -137.2,    1.0171, 3,    6459.16,  102.8,    1.0171
"HAWKER", 11, 1,    6481.62,  -16.4,    1.0206, 2,    6481.62, -136.4,    1.0206, 3,    6481.62,  103.6,    1.0206
"DUMA7", 11, 1,    6363.48,  -18.1,     1.002, 2,    6363.48, -138.1,     1.002, 3,    6363.48,  101.9,     1.002
"HAUS", 11, 1,    6434.92,  -17.8,    1.0132, 2,    6434.92, -137.8,    1.0132, 3,    6434.92,  102.2,    1.0132
"DUMA6", 11, 1,    6629.23,  -17.1,    1.0438, 2,    6629.23, -137.1,    1.0438, 3,    6629.23,  102.9,    1.0438
"DUMA13", 11, 1,    6804.76,  -16.5,    1.0715, 2,    6804.76, -136.5,    1.0715, 3,    6804.76,  103.5,    1.0715
"SSU_DUMA5_IM2", 11, 1,    6828.16,  -16.3,    1.0752, 2,    6828.16, -136.3,    1.0752, 3,    6828.16,  103.7,    1.0752
"PDTLITRAK", 11, 1,       6559,  -16.3,    1.0328, 2,       6559, -136.3,    1.0328, 3,       6559,  103.7,    1.0328
"DUMA12", 11, 1,    6652.87,  -15.5,    1.0476, 2,    6652.87, -135.5,    1.0476, 3,    6652.87,  104.5,    1.0476
