Bus,  V1,  p.u.,Base kV, V2, %V2/V1, V0, %V0/V1, Vresidual, %NEMA
"PPU_DUMA_33KV",    18984.6,   0.99643,    33.00, 9.27151E-006, 4.884E-008, 1.23938E-006, 6.528E-009, 3.71815E-006, 6.531E-009
"PPU_DUMA_11KV_A",    6266.41,    0.9867,    11.00, 3.25138E-006, 5.189E-008, 7.6887E-009, 1.227E-010, 2.30668E-008, 6.596E-009
"PPU_DUMA_11KV_B",    6238.95,   0.98238,    11.00, 3.2391E-006, 5.192E-008, 1.14497E-008, 1.835E-010, 3.43501E-008, 6.627E-009
"RPPLNGI2",    6235.99,   0.98191,    11.00, 3.23776E-006, 5.192E-008, 1.21593E-008, 1.95E-010, 3.64788E-008, 6.63E-009
"PDTJLNMASJID",    6233.81,   0.98157,    11.00, 3.23677E-006, 5.192E-008, 1.27411E-008, 2.044E-010, 3.82245E-008, 6.633E-009
"BELLA",    6232.36,   0.98134,    11.00, 3.23612E-006, 5.192E-008, 1.3149E-008, 2.11E-010, 3.94469E-008, 6.634E-009
"PSTPDGN",    6231.65,   0.98123,    11.00, 3.23579E-006, 5.193E-008, 1.33595E-008, 2.144E-010, 4.00774E-008, 6.635E-009
"ATRIA_1",    6254.09,   0.98476,    11.00, 3.24596E-006, 5.19E-008, 1.1729E-008, 1.875E-010, 3.51875E-008, 6.611E-009
"HAWKER",    6255.75,   0.98502,    11.00, 3.24672E-006, 5.19E-008, 1.69315E-008, 2.707E-010, 5.07963E-008, 6.609E-009
"DUMA7",    6241.62,    0.9828,    11.00, 3.24039E-006, 5.192E-008, 1.15432E-008, 1.849E-010, 3.463E-008, 6.626E-009
"HAUS",     6255.2,   0.98494,    11.00, 3.24672E-006, 5.19E-008, 1.55765E-008, 2.49E-010, 4.67272E-008, 6.614E-009
"DUMA6",    6294.97,    0.9912,    11.00, 3.26537E-006, 5.187E-008, 4.69045E-008, 7.451E-010, 1.40711E-007, 6.582E-009
"DUMA13",    6335.67,   0.99761,    11.00, 3.28451E-006, 5.184E-008, 7.99717E-008, 1.262E-009, 2.39913E-007, 6.551E-009
"SSU_DUMA5_IM2",     6338.2,   0.99801,    11.00, 3.28572E-006, 5.184E-008, 8.03146E-008, 1.267E-009, 2.40942E-007, 6.55E-009
"PDTLITRAK",     6272.2,   0.98762,    11.00, 3.25425E-006, 5.188E-008, 1.2121E-008, 1.933E-010, 3.6363E-008, 6.593E-009
"DUMA12",    6285.44,    0.9897,    11.00, 3.26029E-006, 5.187E-008, 1.27425E-008, 2.027E-010, 3.82275E-008, 6.58E-009
"TMNGH4",    6301.23,   0.99219,    11.00, 3.26749E-006, 5.185E-008, 2.2925E-008, 3.638E-010, 6.87727E-008, 6.564E-009
"SSU_TMEGAH3_IR1",    6307.35,   0.99315,    11.00, 3.27029E-006, 5.185E-008, 2.83119E-008, 4.489E-010, 8.49334E-008, 6.558E-009
"TMNGH2",    6309.09,   0.99342,    11.00, 3.27108E-006, 5.185E-008, 3.05128E-008, 4.836E-010, 9.15366E-008, 6.557E-009
"SSU_UPTWRES_IM2",    6238.25,   0.98227,    11.00, 3.23879E-006, 5.192E-008, 1.39484E-008, 2.236E-010, 4.18451E-008, 6.628E-009
"MAYBANK",    6247.36,    0.9837,    11.00, 3.24292E-006, 5.191E-008, 1.41905E-008, 2.271E-010, 4.25712E-008, 6.619E-009
"DUMA8",    6249.31,   0.98401,    11.00, 3.24381E-006, 5.191E-008, 1.45797E-008, 2.333E-010, 4.37383E-008, 6.617E-009
"DUMA9",    6247.07,   0.98366,    11.00, 3.24277E-006, 5.191E-008, 1.22469E-008, 1.96E-010, 3.67412E-008, 6.619E-009
"DUMA1",    6250.42,   0.98419,    11.00, 3.24429E-006, 5.191E-008, 1.26764E-008, 2.028E-010, 3.80291E-008, 6.615E-009
"ELITE",    6251.62,   0.98438,    11.00, 3.24483E-006, 5.19E-008, 1.2843E-008, 2.054E-010, 3.85285E-008, 6.613E-009
"PAMDRA",    6268.06,   0.98696,    11.00, 3.25213E-006, 5.188E-008, 7.66905E-009, 1.224E-010, 2.30068E-008, 6.594E-009
"DUMA4",    6273.26,   0.98778,    11.00, 3.25449E-006, 5.188E-008, 9.48886E-009, 1.513E-010, 2.84648E-008, 6.589E-009
"PLSDRA",     6282.6,   0.98925,    11.00, 3.25875E-006, 5.187E-008, 1.902E-008, 3.027E-010, 5.70587E-008, 6.58E-009
"PRMTE",    6243.04,   0.98302,    11.00, 3.24085E-006, 5.191E-008, 2.28936E-008, 3.667E-010, 6.868E-008, 6.622E-009
"PRMTA",    6240.26,   0.98259,    11.00, 3.2396E-006, 5.191E-008, 2.30993E-008, 3.702E-010, 6.92994E-008, 6.625E-009
"PMONTB",    6240.81,   0.98267,    11.00, 3.23985E-006, 5.191E-008, 2.39689E-008, 3.841E-010, 7.19059E-008, 6.624E-009
"PLNGI_B",    6277.26,   0.98841,    11.00, 3.25628E-006, 5.187E-008, 7.5328E-009, 1.2E-010, 2.25996E-008, 6.584E-009
"PLNGI_D",     6285.1,   0.98965,    11.00, 3.25983E-006, 5.187E-008, 7.418E-009, 1.18E-010, 2.22542E-008, 6.576E-009
"SPRK9",    6248.22,   0.98384,    11.00, 3.24314E-006, 5.191E-008, 9.80022E-009, 1.568E-010, 2.94027E-008, 6.615E-009
"BOMBA",     6248.2,   0.98384,    11.00, 3.24313E-006, 5.191E-008, 1.10173E-008, 1.763E-010, 3.30518E-008, 6.615E-009
"SPRK8",    6248.14,   0.98383,    11.00, 3.24311E-006, 5.191E-008, 1.43437E-008, 2.296E-010, 4.30315E-008, 6.615E-009
"SSU_DSARCNTR_IR1",    6273.05,   0.98775,    11.00, 3.25438E-006, 5.188E-008, 7.545E-009, 1.203E-010, 2.2635E-008, 6.589E-009
"DUMA10",    6285.48,   0.98971,    11.00, 3.26001E-006, 5.187E-008, 7.76457E-009, 1.235E-010, 2.32941E-008, 6.576E-009
"BALAIPOLIS",    6285.68,   0.98974,    11.00, 3.2601E-006, 5.187E-008, 7.76804E-009, 1.236E-010, 2.33041E-008, 6.576E-009
"SSU_UPTWRES_IR1",    6281.32,   0.98905,    11.00, 3.25817E-006, 5.187E-008, 1.91429E-008, 3.048E-010, 5.7426E-008, 6.581E-009
"PPU_DUMA_VCB1",          0,         0,    33.00,          0,        0,          0,        0,          0,        0
