Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"PPU_DUMA_33KV", 33, 1,    18980.7,    3.7,   0.99623, 2,    18980.7, -116.3,   0.99623, 3,    18980.7,  123.7,   0.99623
"PPU_DUMA_11KV_A", 11, 1,    6243.28,  -19.3,   0.98306, 2,    6243.28, -139.3,   0.98306, 3,    6243.28,  100.7,   0.98306
"PPU_DUMA_11KV_B", 11, 1,    6150.55,  -16.0,   0.96846, 2,    6150.55, -136.0,   0.96846, 3,    6150.55,  104.0,   0.96846
"RPPLNGI2", 11, 1,     6247.4,  -14.9,   0.98371, 2,     6247.4, -134.9,   0.98371, 3,     6247.4,  105.1,   0.98371
"PDTJLNMASJID", 11, 1,    6320.71,  -14.1,   0.99525, 2,    6320.71, -134.1,   0.99525, 3,    6320.71,  105.9,   0.99525
"BELLA", 11, 1,    6369.89,  -13.6,     1.003, 2,    6369.89, -133.6,     1.003, 3,    6369.89,  106.4,     1.003
"PSTPDGN", 11, 1,    6394.57,  -13.3,    1.0069, 2,    6394.57, -133.3,    1.0069, 3,    6394.57,  106.7,    1.0069
"ATRIA_1", 11, 1,    6300.93,  -14.5,   0.99214, 2,    6300.93, -134.5,   0.99214, 3,    6300.93,  105.5,   0.99214
"HAWKER", 11, 1,    6325.53,  -13.4,   0.99601, 2,    6325.53, -133.4,   0.99601, 3,    6325.53,  106.6,   0.99601
"DUMA7", 11, 1,    6189.46,  -15.6,   0.97459, 2,    6189.46, -135.6,   0.97459, 3,    6189.46,  104.4,   0.97459
"HAUS", 11, 1,    6275.73,  -15.2,   0.98817, 2,    6275.74, -135.2,   0.98817, 3,    6275.74,  104.8,   0.98817
"DUMA6", 11, 1,    6512.29,  -14.2,    1.0254, 2,    6512.29, -134.2,    1.0254, 3,     6512.3,  105.8,    1.0254
"DUMA13", 11, 1,    6730.08,  -13.3,    1.0597, 2,    6730.09, -133.3,    1.0597, 3,     6730.1,  106.7,    1.0597
"SSU_DUMA5_IM2", 11, 1,    6756.34,  -13.1,    1.0638, 2,    6756.34, -133.1,    1.0638, 3,    6756.35,  106.9,    1.0638
"PDTLITRAK", 11, 1,    6416.51,  -13.2,    1.0103, 2,    6416.51, -133.2,    1.0103, 3,    6416.51,  106.8,    1.0103
"DUMA12", 11, 1,    6525.34,  -12.2,    1.0275, 2,    6525.34, -132.2,    1.0275, 3,    6525.34,  107.8,    1.0275
"TMNGH4", 11, 1,    6631.46,  -11.8,    1.0442, 2,    6631.46, -131.8,    1.0442, 3,    6631.46,  108.2,    1.0442
"SSU_TMEGAH3_IR1", 11, 1,    6673.68,  -11.6,    1.0508, 2,    6673.68, -131.6,    1.0508, 3,    6673.68,  108.4,    1.0508
"TMNGH2", 11, 1,     6691.1,  -11.5,    1.0536, 2,     6691.1, -131.5,    1.0536, 3,     6691.1,  108.5,    1.0536
"SSU_UPTWRES_IM2", 11, 1,    6188.35,  -15.5,   0.97441, 2,    6188.35, -135.5,   0.97441, 3,    6188.35,  104.5,   0.97441
"MAYBANK", 11, 1,    6249.14,  -15.0,   0.98398, 2,    6249.14, -135.0,   0.98398, 3,    6249.14,  105.0,   0.98398
"DUMA8", 11, 1,    6260.83,  -14.9,   0.98582, 2,    6260.83, -134.9,   0.98582, 3,    6260.83,  105.1,   0.98582
"DUMA9", 11, 1,    6328.88,  -14.1,   0.99654, 2,    6328.88, -134.1,   0.99654, 3,    6328.88,  105.9,   0.99654
"DUMA1", 11, 1,    6402.44,  -13.4,    1.0081, 2,    6402.44, -133.4,    1.0081, 3,    6402.44,  106.6,    1.0081
"ELITE", 11, 1,    6428.84,  -13.1,    1.0123, 2,    6428.84, -133.1,    1.0123, 3,    6428.84,  106.9,    1.0123
"PAMDRA", 11, 1,    6255.11,  -19.2,   0.98492, 2,    6255.11, -139.2,   0.98492, 3,    6255.11,  100.8,   0.98492
